sourceDOI,reusedDOI,type,comment,sourceReference,alternativeID,sourceReferenceDetail,contributor
"10.1145/3324884.3416590","10.1145/2610384.2628055","Dataset","Defects4j","28","","Page 5- paragraph 2 - In this study- we focus on the patches generated for a widely used benchmark by existing APR techniques which is Defects4j [28]","karacitir"
"10.1145/3324884.3416590","10.1145/3377811.3380338","Dataset","Dataset generated for a previous study. I am not sure if it is public or not.","45","","Page 5- paragraph 2 - Specifically- we select all the patches prepared by a recent large-scale study [45]","karacitir"
"10.1145/3324884.3416590","10.1145/2931037.2948705","Tool","jGenProg","54","","Page 5- paragraph 2. Also Table 3","karacitir"
"10.1145/3324884.3416590","10.1145/2931037.2948705","Tool","jKali","54","","Page 5 - Table 3","karacitir"
"10.1145/3324884.3416590","10.1145/2931037.2948705","Tool","jMutRepair","54","","Page 5 - Table 3","karacitir"
"10.1145/3324884.3416590","10.1145/2931037.2948705","Tool","SimFix","54","","Page 5 - Table 3","karacitir"
"10.1145/3324884.3416590","10.1109/TSE.2018.2874648","Tool","ARJA","90","","Page 5 - Table 3","karacitir"
"10.1145/3324884.3416590","10.1109/TSE.2018.2874648","Tool","GenProg-A","90","","Page 5 - Table 3","karacitir"
"10.1145/3324884.3416590","10.1109/TSE.2018.2874648","Tool","Kali-A","90","","Page 5 - Table 3","karacitir"
"10.1145/3324884.3416590","10.1109/TSE.2018.2874648","Tool","RSRepair-A","90","","Page 5 - Table 3","karacitir"
"10.1145/3324884.3416590","10.1145/3180155.3180233","Tool","CapGen","77","","Page 5 - Table 3","karacitir"
"10.1145/3324884.3416590","10.1145/2896921.2896931","Tool","DynaMoth","16","","Page 5 - Table 3","karacitir"
"10.1145/3324884.3416590","10.1109/TSE.2016.2560811","Tool","Nopol","83","","Page 5 - Table 3","karacitir"
"10.1145/3324884.3416590","10.1109/ICSE.2017.45","Tool","ACS","82","","Page 5 - Table 3","karacitir"
"10.1145/3324884.3416590","10.1007/978-3-319-99241-9_3","Tool","Cardumen","55","","Page 5 - Table 3","karacitir"
"10.1145/3324884.3416590","10.1109/ASE.2017.8115674","Tool","JAID","9","","Page 5 - Table 3","karacitir"
"10.1145/3324884.3416590","10.1145/3180155.3180245","Tool","SketchFix","25","","Page 5 - Table 3","karacitir"
"10.1145/3324884.3416590","10.1109/ICST.2019.00020","Tool","kPAR","41","","Page 5 - Table 3","karacitir"
"10.1145/3324884.3416590","10.1007/s10664-019-09780-z","Tool","FixMiner","32","","Page 5 - Table 3","karacitir"
"10.1145/3324884.3416590","10.1109/SANER.2019.8667970","Tool","AVATAR","42","","Page 5 - Table 3","karacitir"
"10.1145/3324884.3416590","10.1145/3293882.3330577","Tool","TBar","43","","Page 5 - Table 3","karacitir"
"10.1145/3324884.3416590","10.1109/SANER.2018.8330202","Tool","SOFix","46","","Page 5 - Table 3","karacitir"
"10.1145/3324884.3416590","10.1109/tse.2019.2940179","Tool","SequenceR","10","","Page 5 - Table 3","karacitir"
"10.1145/3324884.3416590","10.1007/s10664-020-09920-w","Methodology","Strategy for reducing author bias","88","","Page 5 - column 2 - paragraph 2 - To reduce such bias in our study - we further performed a sanity check to examine the correctness of the collected patches. To achieve such a goal - we followed the strategies adopted by a recent study [88]","karacitir"
"10.1145/3324884.3416590","10.1587/transinf.E94.D.1854","Methodology","learning-to-rank technique","40","","Page 6 - section 3.4.2","karacitir"
"10.1145/3324884.3416590","","Methodology","cost-sensitive learning","17","https://dl.acm.org/doi/10.5555/1642194.1642224","Page 6 - section 3.4.2","karacitir"
"10.1145/3324884.3416532","10.1109/SANER.2019.8667991","Dataset","Bears Java bug benchmark","38","","Page 3 - section 3.2 - Table 1","karacitir"
"10.1145/3324884.3416532","10.1145/3196398.3196473","Dataset","Bugs.jar real-world Java bugs","47","","Page 3 - section 3.2 - Table 1","karacitir"
"10.1145/3324884.3416532","10.1145/2610384.2628055","Dataset","Defects4J","17","","Page 3 - section 3.2 - Table 1","karacitir"
"10.1145/3324884.3416532","","Dataset","ManySStubsBs4J","19","http://arxiv.org/abs/1905.13334","Page 3 - section 3.2 - Table 1","karacitir"
"10.1145/3324884.3416532","10.1145/3135932.3135941","Dataset","QuixBugs","28","","Page 3 - section 3.2 - Table 1","karacitir"
"10.1145/3324884.3416532","10.1145/3338906.3338911","Dataset","RepairThemAll","10","","Page 3 - section 3.2 - Table 1","karacitir"
"10.1145/3324884.3416532","10.1145/3377811.3380338","Dataset","A labeled dataset of patches generated by 16 APR systems for the Defects4J bugs (Liu) ","36","","Page 3 - section 3.2 - Table 1","karacitir"
"10.1145/3324884.3416532","10.1145/3183519.3183540","Dataset","Labeled patches used as a test dataset (Xiong)","59","","Page 3 - section 3.2 - Table 1","karacitir"
"10.1145/3324884.3416532","","Tool","Doc2Vec","22","http://proceedings.mlr.press/v32/le14.html","Page 2 - section 2.2.1","karacitir"
"10.1145/3324884.3416532","10.18653/v1/N19-1423","Tool","Bert:pre-trained language representation model","9","","Page 2 - section 2.2.2","karacitir"
"10.1145/3324884.3416532","10.1145/3290353","Tool","code2vec: attention-based neural code embedding model","3","","Page 3 - section 2.2.3","karacitir"
"10.1145/3324884.3416532","10.1145/3377811.3380361","Tool","CC2Vec:specialized hierarchical attention neural network model","13","","Page 3 section 2.2.4","karacitir"
"10.1145/3324884.3416532","10.1145/3377811.3380361","Methodology","reuse approach from 13 for merging vectors","13","","Page 7 - Column 2 - paragraph 2 - We follow an approach that was demonstrated by Hoang et al. [13]","karacitir"
"10.1145/3324884.3416579","10.1145/2847538.2847544","Tool","BiGUL framework","26","","Page 8 - Column 2 - Paragraph 1 - To provide tool support for our multiple-view analysis framework we realized a prototypical view generation and transformation tool based on BiGUL [26]","karacitir"
"10.1145/3324884.3416579","10.5194/isprs-annals-IV-4-W1-51-2016","Methodology","Generation of multi-LOD 3D city models in CityGML with the procedural modelling engine","5","","Page 8 - Column 2 - last paragraph","karacitir"
"10.1145/3324884.3416579","10.1007/978-3-319-46520-3_8","Tool","SPOT: Model checking tool on the transition systems","13","","Page 9 - Column 1 - paragraph 2 - Model checking on the transition systems produced can then be readily performed with typical tools (e.g.SPOT [13])","karacitir"
"10.1145/3379597.3387464","10.1145/2597073.2597074","Sanity check","how to avoid issues  from reworked commits","27","","Page 2 - Section 3.1.3","karacitir"
"10.1145/3379597.3387464","10.1145/2597073.2597122","Dataset","with a public dataset of PRs from GitHub projects that use PRs in their development cycle","25","","Page 3 - Section 3.3.1","karacitir"
"10.1145/3379597.3387469","10.1145/2901739.2903508","Dataset","AndroZoo: a repository of Android apps maintained by the University of Luxembourg","2","","Page 5 - paragraph 2","karacitir"
"10.1145/3379597.3387469","","Tool","Axplorer: permission-method mapping extraction","8","https://www.usenix.org/conference/usenixsecurity16/technical-sessions/presentation/backes_android","Page 7 - last paragraph","karacitir"
"10.1145/3379597.3387469","","Tool","DPSPEC: permission-method mapping extraction","10","arxiv:1706.05042","Page 7 - last paragraph","karacitir"
"10.1145/3379597.3387469","10.1145/2950290.2983958","Sanity check","why not automated tools are used","15","","Page 8 - paragraph 2 - We do not resort to automated tools to explore the behavior of the app because we want to achieve a high behavior [15] coverage which is still a challenge for the state of the art tools","karacitir"
"10.1145/3379597.3387475","10.1145/3196398.3196466","Dataset","CROP: Code Review Open Platform","35","","Page 4 - Section 4.2","karacitir"
"10.1145/3379597.3387475","","Tool","RefMiner","53","https://dl.acm.org/doi/10.5555/2555523.2555539","Page 4 - Section 4.2","karacitir"
"10.1145/3379597.3387475","10.1109/TSE.2019.2912113","Methodology","Code review classification procedure","37","","Page 5 - Step 4 paragraph - To assess this threat to our study’s validity we make use of the code reviews classification performed by our previous work [37]","karacitir"
"10.1145/3379597.3387459","10.1016/j.jss.2014.12.027","Methodology","Categorization of the issues based on categories proposed in 15","15","","Page 5 - Section 5.1 - paragraph 1 - we reused the categories described in a study performed by Li et al. [15].","karacitir"
"10.1145/3379597.3387459","","Methodology","open-card sorting","28","https://books.google.com/books/about/Card_Sorting.html?id=_h4D9gqi5tsC&redir_esc=y","Page 7 - Colum 1 - last paragraph","karacitir"
"10.1145/3379597.3387480","10.1109/ICSE.2013.6606588","Tool","reuses Boa infrastructure to implement views","6","","Page 1 - Section 1 - first paragraph","karacitir"
"10.1145/3379597.3387480","10.1145/2786805.2786870","Methodology","partial reproduction","10","","Page 1 - Column 2 - last paragraph","karacitir"
"10.1145/3379597.3387480","10.1007/s10664-013-9261-0","Methodology","partial reproduction","14","","Page 1 - Column 2 - last paragraph","karacitir"
"10.1145/3379597.3387480","10.1109/MSR.2013.6624055","Dataset","test data for evaluating split algorithms","2","","Page 6 - Section 4.1 - first paragraph","karacitir"
"10.1145/3379597.3387480","10.1007/s10664-013-9261-0","Methodology","greedy approach for splitting identifiers","9","","Page 6 - Section 4.1.1 - first paragraph","karacitir"
"10.1145/3379597.3387480","","Dataset","SCOWL word lists","16","http://wordlist.sourceforge.net","Page 6 - Section 4.1.1 - first paragraph","karacitir"
"10.1145/3379597.3387446","10.1037/0022-3514.52.6.1061","Methodology","Reuses theoretical model of emotions for annotation","42","","Page 2 - Column 1 - first paragraph","karacitir"
"10.1145/3379597.3387446","10.1007/s10664-016-9493-x","Replication","partial replication of the previous study","19","","Page 4 - Experimental setting - To enable comparison with the within-platform benchmark [30] we replicate the former experimental setting.","karacitir"
"10.1145/3379597.3387446","10.1145/3196398.3196403","Replication","partial replication of the previous study","30","","Page 4 - Experimental setting - To enable comparison with the within-platform benchmark [30] we replicate the former experimental setting.","karacitir"
"10.1145/3379597.3387446","10.1109/SEmotion.2019.00014","Tool","Senti4SD","8","","Page 3 - Paragraph 3","karacitir"
"10.1145/3379597.3387446","10.1109/ASE.2017.8115623","Tool","SentiCR","2","","Page 3 - Paragraph 4","karacitir"
"10.1145/3379597.3387446","10.1109/MSR.2017.9","Tool","SentiStrength-SE","17","","Page 3 - Paragraph 5","karacitir"
"10.1145/3379597.3387446","10.1145/3167132.3167296","Tool","DEVA","18","","Page 3 - Paragraph 6","karacitir"
"10.1145/3379597.3387446","10.1007/s10664-017-9546-9","Methodology","reuses the same annotation scheme and guideline for labeling","6","","Page 3 - Column 2 - paragraph 1","karacitir"
"10.1145/3379597.3387446","10.1007/s10664-017-9546-9","Dataset","Stack Overflow data set","6","","Page 3 - Column 2 - paragraph 2","karacitir"
"10.1145/3379597.3387446","10.1145/2901739.2903505","Dataset","Jira dataset","33","","Page 3 - Column 2 - paragraph 3","karacitir"
"10.1145/3379597.3387446","10.1613/jair.953","Tool","SMOTE","10","","Page 5 - Fist column - last paragraph","karacitir"
"10.1145/3324884.3416532","10.1109/SANER.2019.8667991","Dataset","","38","","","afonsohfontes"
"10.1145/3324884.3416532","10.1145/3196398.3196473","Dataset","","47","","","afonsohfontes"
"10.1145/3324884.3416532","10.1145/2610384.2628055","Dataset","","17","","","afonsohfontes"
"10.1145/3324884.3416532","10.1145/3135932.3135941","Dataset","","28","","","afonsohfontes"
"10.1145/3324884.3416532","10.1145/3338906.3338911","Dataset","","10","","","afonsohfontes"
"10.1145/3324884.3416532","10.1145/3377811.3380338","Dataset","","36","","","afonsohfontes"
"10.1145/3324884.3416532","10.1145/3183519.3183540","Dataset","","59","","","afonsohfontes"
"10.1145/3324884.3416532","10.1145/3377811.3380361","Methodology","","13","","","afonsohfontes"
"10.1145/3324884.3416532","","Tool","","22","http://proceedings.mlr.press/v32/le14.html","","afonsohfontes"
"10.1145/3324884.3416532","10.18653/v1/N19-1423","Tool","","9","","","afonsohfontes"
"10.1145/3324884.3416532","10.1145/3290353","Tool","","3","","","afonsohfontes"
"10.1145/3324884.3416532","10.1145/3377811.3380361","Tool","","13","","","afonsohfontes"
"10.1145/3324884.3416579","10.5194/isprs-annals-IV-4-W1-51-2016","Methodology","","5","","","afonsohfontes"
"10.1145/3324884.3416579","10.1145/2847538.2847544","Tool","","26","","","afonsohfontes"
"10.1145/3324884.3416579","10.1007/978-3-319-46520-3_8","Tool","","13","","","afonsohfontes"
"10.1145/3324884.3416590","10.1145/2610384.2628055","Dataset","","28","","","afonsohfontes"
"10.1145/3324884.3416590","10.1145/3377811.3380338","Dataset","","45","","","afonsohfontes"
"10.1145/3324884.3416590","10.1145/3180155.3180182","Methodology","","81","","","afonsohfontes"
"10.1145/3324884.3416590","10.1145/3180155.3180182","Methodology","","81","","","afonsohfontes"
"10.1145/3324884.3416590","10.1145/3180155.3180182","Methodology","","81","","","afonsohfontes"
"10.1145/3324884.3416590","10.1145/3180155.3180182","Methodology","","81","","","afonsohfontes"
"10.1145/3324884.3416590","10.1007/s10664-020-09920-w","Methodology","","88","","","afonsohfontes"
"10.1145/3324884.3416590","10.1587/transinf.E94.D.1854","Methodology","","40","","","afonsohfontes"
"10.1145/3324884.3416590","","Methodology","","17","https://dl.acm.org/doi/10.5555/1642194.1642224","","afonsohfontes"
"10.1145/3324884.3416590","10.1145/3106237.3106309","Metric","","34","","","afonsohfontes"
"10.1145/3324884.3416590","10.1145/3180155.3180233","Metric","","77","","","afonsohfontes"
"10.1145/3324884.3416590","10.1109/ASE.2017.8115676","Metric","","80","","","afonsohfontes"
"10.1145/3324884.3416590","10.1145/1297846.1297902","Tool","","59","","","afonsohfontes"
"10.1145/3324884.3416590","10.1145/2025113.2025179","Tool","","19","","","afonsohfontes"
"10.1145/3324884.3416590","10.1145/3092703.3092718","Tool","","79","","","afonsohfontes"
"10.1145/3324884.3416590","10.1109/32.908957","Tool","","18","","","afonsohfontes"
"10.1145/3324884.3416590","10.1145/2931037.2948705","Tool","","54","","","afonsohfontes"
"10.1145/3324884.3416590","10.1145/2931037.2948705","Tool","","54","","","afonsohfontes"
"10.1145/3324884.3416590","10.1145/2931037.2948705","Tool","","54","","","afonsohfontes"
"10.1145/3324884.3416590","10.1145/2931037.2948705","Tool","","54","","","afonsohfontes"
"10.1145/3324884.3416590","10.1109/TSE.2018.2874648","Tool","","90","","","afonsohfontes"
"10.1145/3324884.3416590","10.1109/TSE.2018.2874648","Tool","","90","","","afonsohfontes"
"10.1145/3324884.3416590","10.1109/TSE.2018.2874648","Tool","","90","","","afonsohfontes"
"10.1145/3324884.3416590","10.1109/TSE.2018.2874648","Tool","","90","","","afonsohfontes"
"10.1145/3324884.3416590","10.1145/3180155.3180233","Tool","","77","","","afonsohfontes"
"10.1145/3324884.3416590","10.1145/2896921.2896931","Tool","","16","","","afonsohfontes"
"10.1145/3324884.3416590","10.1109/TSE.2016.2560811","Tool","","83","","","afonsohfontes"
"10.1145/3324884.3416590","10.1109/ICSE.2017.45","Tool","","82","","","afonsohfontes"
"10.1145/3324884.3416590","10.1007/978-3-319-99241-9_3","Tool","","55","","","afonsohfontes"
"10.1145/3324884.3416590","10.1109/ASE.2017.8115674","Tool","","9","","","afonsohfontes"
"10.1145/3324884.3416590","10.1145/3180155.3180245","Tool","","25","","","afonsohfontes"
"10.1145/3324884.3416590","10.1109/ICST.2019.00020","Tool","","41","","","afonsohfontes"
"10.1145/3324884.3416590","10.1007/s10664-019-09780-z","Tool","","32","","","afonsohfontes"
"10.1145/3324884.3416590","10.1109/SANER.2019.8667970","Tool","","42","","","afonsohfontes"
"10.1145/3324884.3416590","10.1145/3293882.3330577","Tool","","43","","","afonsohfontes"
"10.1145/3324884.3416590","10.1109/SANER.2018.8330202","Tool","","46","","","afonsohfontes"
"10.1145/3324884.3416590","10.1109/tse.2019.2940179","Tool","","10","","","afonsohfontes"
"10.1145/3379597.3387446","10.1007/s10664-017-9546-9","Dataset","","6","","","afonsohfontes"
"10.1145/3379597.3387446","10.1145/2901739.2903505","Dataset","","33","","","afonsohfontes"
"10.1145/3379597.3387446","10.1037/0022-3514.52.6.1061","Methodology","","42","","","afonsohfontes"
"10.1145/3379597.3387446","10.1007/s10664-016-9493-x","Methodology","","19","","","afonsohfontes"
"10.1145/3379597.3387446","10.1145/3196398.3196403","Methodology","","30","","","afonsohfontes"
"10.1145/3379597.3387446","10.1109/SEmotion.2019.00014","Tool","","8","","","afonsohfontes"
"10.1145/3379597.3387446","10.1109/ASE.2017.8115623","Tool","","2","","","afonsohfontes"
"10.1145/3379597.3387446","10.1109/MSR.2017.9","Tool","","17","","","afonsohfontes"
"10.1145/3379597.3387446","10.1145/3167132.3167296","Tool","","18","","","afonsohfontes"
"10.1145/3379597.3387446","10.1613/jair.953","Tool","","10","","","afonsohfontes"
"10.1145/3379597.3387459","10.1016/j.jss.2014.12.027","Methodology","","15","","","afonsohfontes"
"10.1145/3379597.3387464","10.1145/2597073.2597122","Dataset","","25","","","afonsohfontes"
"10.1145/3379597.3387464","10.1145/2597073.2597074","Metric","","27","","","afonsohfontes"
"10.1145/3379597.3387469","10.1145/2901739.2903508","Dataset","","2","","","afonsohfontes"
"10.1145/3379597.3387475","10.1145/3196398.3196466","Dataset","","35","","","afonsohfontes"
"10.1145/3379597.3387475","10.1109/TSE.2019.2912113","Methodology","","37","","","afonsohfontes"
"10.1145/3379597.3387475","","Tool","","53","https://dl.acm.org/doi/10.5555/2555523.2555539","","afonsohfontes"
"10.1145/3379597.3387480","10.1109/MSR.2013.6624055","Dataset","","2","","","afonsohfontes"
"10.1145/3379597.3387480","10.1007/s10664-013-9261-0","Methodology","","9","","","afonsohfontes"
"10.1145/3379597.3387480","10.1109/ICSE.2013.6606588","Tool","","6","","","afonsohfontes"
"10.1145/3379597.3387481","","Tool","ActiveMQ","[12]","https://svn.apache.org/repos/infra/apachecon/archive.apachecon.com/na2011/presentations/10-Thursday/A-Enterprise_Java/A_1600_Snyder_ActiveMQ.pdf","2","yrahul3910"
"10.1145/3379597.3387481","10.1145/1370750.1370781","Methodology","Effort estimation scenario","[7]","","7","yrahul3910"
"10.1145/3379597.3387481","10.1145/2597073.2597107","Methodology","Effort estimation scenario","[11]","","7","yrahul3910"
"10.1145/3379597.3387481","10.1145/3236024.3264598","Tool","PyDriller","[13]","","8","yrahul3910"
"10.1145/3379597.3387481","10.1145/2901739.2901753","Dataset","dataset","[14]","","8","yrahul3910"
"10.1145/3379597.3387458","10.1111/j.1471-1842.2009.00848.x","Methodology","SALSA","[34]","","2","yrahul3910"
"10.1145/3379597.3387458","10.1016/bs.adcom.2018.10.001","Methodology","Literature review","[69]","","2","yrahul3910"
"10.1145/3379597.3387458","10.1191/1478088706QP063OA","Methodology","Thematic analysis","[8]","","3","yrahul3910"
"10.1145/3379597.3387444","","Tool","ftrace","[6]","https://elinux.org/Ftrace","4","yrahul3910"
"10.1145/3379597.3387444","","Tool","dtrace","[4]","http://dtrace.org","4","yrahul3910"
"10.1145/3379597.3387444","","Tool","PIN","[16]","https://software.intel.com/en-us/articles/pin-a-dynamic-binary-instrumentation-tool.","4","yrahul3910"
"10.1145/3379597.3387444","","Tool","cscope","[21]","http://cscope.sourceforge.net/","5","yrahul3910"
"10.1145/3379597.3387444","","Tool","Kernel glossary","[13]","https://kernelnewbies.org/KernelGlossary","5","yrahul3910"
"10.1145/3379597.3387444","","Tool","spaCy","[22]","https://spacy.io/","6","yrahul3910"
"10.1145/3379597.3387444","10.1002/nav.3800020109","Methodology","Hungarian algorithm","[63]","","6","yrahul3910"
"10.1145/3379597.3387444","10.1002/1097-024X(200009)30:11<1203::AID-SPE338>3.0.CO;2-N","Tool","graphviz","[46]","","6","yrahul3910"
"10.1145/3379597.3387465","10.1007/BFb0017737","Methodology","Lehman's laws","[19]","","1","yrahul3910"
"10.1145/3379597.3387465","10.1109/TSE.1976.233837","Metric","McCabe","[23]","","2","yrahul3910"
"10.1145/3379597.3387465","","Metric","Halstead","[12]","https://dl.acm.org/doi/book/10.5555/540137","2","yrahul3910"
"10.1145/3379597.3387465","","Metric","Midha et al.","[26]","https://www.tandfonline.com/doi/abs/10.1080/08874417.2010.11645410","2","yrahul3910"
"10.1145/3379597.3387465","10.1109/32.106988","Metric","Gill & Kemerer","[8]","","2","yrahul3910"
"10.1145/3379597.3387465","10.1145/2884781.2884799","Tool","cqmetrics","[41]","","2","yrahul3910"
"10.1145/3379597.3387465","","Dataset","OpenSSL vulnerabilities list","","https://www.openssl.org/news/vulnerabilities.html","4","yrahul3910"
"10.1145/3379597.3387465","10.1145/3236024.3264598","Tool","PyDriller","[39]","","4","yrahul3910"
"10.1145/3379597.3387479","","Tool","pysmell","[27]","https://github.com/chenzhifei731/Pysmell","2","yrahul3910"
"10.1145/3379597.3387479","10.1016/j.infsof.2017.09.011","Methodology","Code smell list","[6]","","2","yrahul3910"
"10.1145/3379597.3387479","","Methodology","Code smells","[10]","https://books.google.com/books?hl=en&lr=&id=2H1_DwAAQBAJ&oi=fnd&pg=PT14&dq=Refactoring:+improving+the+design+of+existing+code&ots=Ngyvvbr1PW&sig=GCwCe0_8UN9b781c5r52AYmUzTs","3","yrahul3910"
"10.1145/3379597.3387479","","Tool","GitHub API Search","[9]","https://developer.github.com/v3/search/#search-topics","3","yrahul3910"
"10.1145/3379597.3387479","","Tool","Radon","[7]","https://pypi.org/project/radon/","4","yrahul3910"
"10.1145/3379597.3387479","","Tool","Sklearn","[19]","https://scikit-learn.org/stable","4","yrahul3910"
"10.1145/3379597.3387479","10.1145/2786805.2803183","Methodology","keywords","[18]","","5","yrahul3910"
"10.1145/3379597.3387479","10.1145/1082983.1083147","Methodology","SZZ","[23]","","5","yrahul3910"
"10.1145/3379597.3387470","10.18653/v1/D16-1244","Methodology","Soft attention alignment","[20]","","1","yrahul3910"
"10.1145/3379597.3387470","10.1145/1806799.1806811","Methodology","Ranking method","[30]","","2","yrahul3910"
"10.1145/3379597.3387470","10.1109/ASE.2011.6100061","Methodology","Ranking method","[29]","","5","yrahul3910"
"10.1145/3379597.3387470","10.1145/3183440.3195092","Methodology","replication","[6]","","5","yrahul3910"
"10.1145/3379597.3387470","10.1109/ICSME.2017.69","Methodology","replication","[10]","","5","yrahul3910"
"10.1145/3379597.3387470","10.1145/2597073.2597128","Dataset","Lazar et al","[14]","","6","yrahul3910"
"10.1145/3379597.3387470","","Methodology","GloVe","[21]","http://www.aclweb.org/anthology/D14-1162","6","yrahul3910"
"10.1145/3379597.3387473","10.1109/MSR.2013.6624034","Tool","GHTorrent","[27]","","2","yrahul3910"
"10.1145/3379597.3387440","10.1145/3180155.3180207","Methodology","Time-based heuristic","[43]","","3","yrahul3910"
"10.1145/3379597.3387440","","Methodology","Open coding technique","[29]","https://pages.cpsc.ucalgary.ca/~saul/wiki/uploads/CPSC681/opencoding.pdf","3","yrahul3910"
"10.1145/3379597.3387440","","Tool","nltk","[9]","https://www.aclweb.org/anthology/P06-4018/","5","yrahul3910"
"10.1145/3379597.3387440","10.1109/SST.2015.13","Metric","AP","[46]","","5","yrahul3910"
"10.1145/3379597.3387440","10.1002/9780471462422.eoct979","Statistics","Wilcoxon test","[56]","","5","yrahul3910"
"10.1145/3379597.3387440","","Tool","scipy","[25]","http://www.scipy.org","5","yrahul3910"
"10.1145/3379597.3387440","","Methodology","CBOW","[38]","arxiv:1712.09405","7","yrahul3910"
"10.1145/3379597.3387440","","Methodology","RCSLS","[26]","https://aclanthology.info/papers/D18-1330/d18-1330","7","yrahul3910"
"10.1145/3379597.3387447","10.1145/335191.335388","Methodology","Local outlier factor","[7]","","4","yrahul3910"
"10.1145/3379597.3387447","10.1109/ICDM.2008.17","Methodology","Isolation forest","[23]","","4","yrahul3910"
"10.1145/3379597.3387447","10.1145/3097983.3098052","Methodology","autoencoder","[32]","","5","yrahul3910"
"10.1145/3379597.3387476","","Dataset","Npm registry","[26]","https://docs.npmjs.com/misc/registry.","3","yrahul3910"
"10.1145/3379597.3387476","","Tool","GitHub API","GitHub","https://developer.github.com/v4/","3","yrahul3910"
"10.1145/3379597.3387476","","Tool","npms","[28]","https://npms.io","5","yrahul3910"
"10.1145/3379597.3387476","","Tool","istanbul","istanbul","https://istanbul.js.org","5","yrahul3910"
"10.1145/3379597.3387440","10.1145/3180155.3180207","Methodology","","[43]","","","afonsohfontes"
"10.1145/3379597.3387440","10.1109/SST.2015.13","Metric","","[46]","","","afonsohfontes"
"10.1145/3379597.3387444","10.1002/nav.3800020109","Methodology","","[63]","","","afonsohfontes"
"10.1145/3379597.3387444","10.1002/1097-024X(200009)30:11<1203::AID-SPE338>3.0.CO;2-N","Tool","","[46]","","","afonsohfontes"
"10.1145/3379597.3387447","10.1145/335191.335388","Methodology","","[7]","","","afonsohfontes"
"10.1145/3379597.3387447","10.1109/ICDM.2008.17","Methodology","","[23]","","","afonsohfontes"
"10.1145/3379597.3387447","10.1145/3097983.3098052","Methodology","","[32]","","","afonsohfontes"
"10.1145/3379597.3387458","10.1111/j.1471-1842.2009.00848.x","Methodology","","[34]","","","afonsohfontes"
"10.1145/3379597.3387458","10.1016/bs.adcom.2018.10.001","Methodology","","[69]","","","afonsohfontes"
"10.1145/3379597.3387458","10.1191/1478088706QP063OA","Methodology","","[8]","","","afonsohfontes"
"10.1145/3379597.3387465","10.1007/BFb0017737","Methodology","","[19]","","","afonsohfontes"
"10.1145/3379597.3387465","10.1109/TSE.1976.233837","Metric","","[23]","","","afonsohfontes"
"10.1145/3379597.3387465","10.1109/32.106988","Metric","","[8]","","","afonsohfontes"
"10.1145/3379597.3387465","10.1145/2884781.2884799","Tool","","[41]","","","afonsohfontes"
"10.1145/3379597.3387465","10.1145/3236024.3264598","Tool","","[39]","","","afonsohfontes"
"10.1145/3379597.3387470","10.1145/2597073.2597128","Dataset","","[14]","","","afonsohfontes"
"10.1145/3379597.3387470","10.18653/v1/D16-1244","Methodology","","[20]","","","afonsohfontes"
"10.1145/3379597.3387470","10.1145/1806799.1806811","Methodology","","[30]","","","afonsohfontes"
"10.1145/3379597.3387470","10.1109/ASE.2011.6100061","Methodology","","[29]","","","afonsohfontes"
"10.1145/3379597.3387470","10.1145/3183440.3195092","Methodology","","[6]","","","afonsohfontes"
"10.1145/3379597.3387470","10.1109/ICSME.2017.69","Methodology","","[10]","","","afonsohfontes"
"10.1145/3379597.3387479","10.1016/j.infsof.2017.09.011","Methodology","","[6]","","","afonsohfontes"
"10.1145/3379597.3387479","10.1145/2786805.2803183","Methodology","","[18]","","","afonsohfontes"
"10.1145/3379597.3387479","10.1145/1082983.1083147","Methodology","","[23]","","","afonsohfontes"
"10.1145/3379597.3387481","10.1145/2901739.2901753","Dataset","","[14]","","","afonsohfontes"
"10.1145/3379597.3387481","10.1145/1370750.1370781","Methodology","","[7]","","","afonsohfontes"
"10.1145/3379597.3387481","10.1145/2597073.2597107","Methodology","","[11]","","","afonsohfontes"
"10.1145/3379597.3387481","10.1145/3236024.3264598","Tool","","[13]","","","afonsohfontes"
"10.1145/3368089.3409722","10.1145/2468356.2468382","Metric","cibtruvytuib acceotace","[38]","","1068","XiaoLing941212"
"10.1145/3368089.3409722","10.1145/2597073.2597122","Metric","introduced by Gousios et al.","[25]","","1069","XiaoLing941212"
"10.1145/3368089.3409726","10.1145/2799647","Tool","Haven","[5]","","1078","XiaoLing941212"
"10.1145/3368089.3409726","","Tool","Graphene-SGX","[31]","https://www.usenix.org/system/files/conference/atc17/atc17-tsai.pdf","1078","XiaoLing941212"
"10.1145/3368089.3409726","","Tool","SGX-LKL","[21]","arxiv:1908.11143","1078","XiaoLing941212"
"10.1145/3368089.3409739","","Dataset","Lending Club Load Data","","https://www.kaggle.com/wendykan/lending-club-loan-data","1092","XiaoLing941212"
"10.1145/3368089.3409739","","Methodology","Papernot attack","[21]","arxiv:1605.07277","1093","XiaoLing941212"
"10.1145/3368089.3409739","","Methodology","PGD","[16]","arxiv:1706.06083","1093","XiaoLing941212"
"10.1145/3368089.3409739","10.1109/SP.2017.49","Methodology","CW2","[7]","","1093","XiaoLing941212"
"10.1145/3368089.3409678","","Tool","fastText","[6]","https://transacl.org/ojs/index.php/tacl/article/view/999","1104","XiaoLing941212"
